unit,sex,age,citizen,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
THS,F,Y15-19,EU15_FOR,AT	: u	: c	: c	: c	: u	: u	: u	: c	: u	: bc	: 	: bc	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,BE	: c	: c	: c	: c	: c	: bc	: c	: c	: c	: 	: u	: bu	: c	: 	: 	: 	: c	: 	: u	: c	: u	: c
THS,F,Y15-19,EU15_FOR,CH	1.7 u	2.0 u	1.5 u	1.3 u	: u	2.3 u	1.7 bu	: u	: u	: u	: u	: bu	: u	: u	: c	: 	: c	: c	: c	: c	: c	: 
THS,F,Y15-19,EU15_FOR,CY	: u	: c	: c	: c	: c	: u	: c	: bc	: c	: c	: c	: bc	: c	: c	: c	: 	: c	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,DE	: u	: c	: u	: u	: u	: bu	: bu	: u	: u	: u	: u	: bu	: u	: c	: u	: c	: u	: c	: c	: u	: c	: c
THS,F,Y15-19,EU15_FOR,DK	: bc	: c	: u	: u	: u	: u	: c	: c	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,EA17	6.2 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,EA18	6.2 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,EA19	6.2 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,EL	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 	: 
THS,F,Y15-19,EU15_FOR,ES	1.6 u	: u	1.2 u	2.3 u	: u	: c	1.8 u	2.0 u	: u	: u	: c	: bc	: 	: c	: c	: bc	: c	: u	: c	: c	: c	: 
THS,F,Y15-19,EU15_FOR,EU15	8.0 u	6.4 u	5.7 u	6.9 u	6.1 u	5.8 u	7.8 u	9.4 u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
THS,F,Y15-19,EU15_FOR,EU27	8.1 u	: u	: u	7.0 u	: u	: u	7.9 u	9.4 u	: u	: u	: u	: bu	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,EU28	8.1 u	: u	: u	7.0 u	: u	: u	7.9 u	9.4 u	: u	: u	: u	: bu	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,FR	: u	: u	: bc	: u	: u	: u	: u	: u	: 	: u	: c	: 	: c	: bc	: c	: c	: c	: c	: c	: c	: c	: u
THS,F,Y15-19,EU15_FOR,IE	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu	: u	: 	: c	: u	: u	: c	: c	: c	: bu	: 	: 	: 
THS,F,Y15-19,EU15_FOR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
THS,F,Y15-19,EU15_FOR,IT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,LU	: u	: bu	: u	: c	: c	: c	: c	: bu	: c	: bu	: u	: bu	: c	: bc	: u	: c	: c	: c	: c	: c	: u	: u
THS,F,Y15-19,EU15_FOR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,NL	: u	: u	: u	: u	: u	: bu	: bc	: u	: 	: u	: u	: bu	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,NO	: u	: c	: c	: u	: c	: c	: 	: c	: 	: c	: bc	: bc	: c	: 	: 	: 	: 	: 	: 	: 	: c	: c
THS,F,Y15-19,EU15_FOR,PT	: 	: 	: 	: 	: 	: 	: u	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU15_FOR,SE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: c	: u	: c	: bc	: 	: 	: 	: c	: 	: 
THS,F,Y15-19,EU15_FOR,UK	: u	: u	: u	: u	: u	: c	: u	: u	: bu	: bu	: c	: bu	: bc	: c	: c	: 	: c	: bc	: c	: c	: c	: u
THS,F,Y15-19,EU27_FOR,AT	: u	: c	: u	: c	: u	: u	: u	: c	: u	: bc	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,BE	: u	: u	: u	: u	: c	: bc	: c	: u	: c	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,CH	1.8 u	2.0 u	1.5 u	1.5 u	: u	2.3 u	1.7 bu	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,CY	: u	: u	: c	: u	: u	: u	: u	: bu	: c	: u	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,CZ	: c	: c	: 	: 	: 	: 	: 	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,DE	: u	: u	: u	: u	: u	: bu	: bu	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,DK	: bc	: c	: u	: u	: u	: u	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS,F,Y15-19,EU27_FOR,EA17	13.7 	9.0 u	13.2 	12.5 	12.5 	11.7 	12.0 	12.5 u	13.8 u	9.2 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
